"CLOSEDATE" "AMOUNTFINANCED" "APR" "MONTHOFSALE" "DAYSTOTURN" "MANUREBATE" "MODEL" "MODELYEAR" "TRANSMISSION" "MONTHLYPAYMENT" "NAMEPLATE" "RETAILERID" "TERM" "TOTALDOWN" "TRANSACTIONTYPE" "VEHGROSS" "VEHPRICE" "VEHPRICELESSREB" "TRADEMODEL" "TRADEMY" "TRADENAME" "TRADECYLINDER" "TRDJDPASUBSEG" "TRADEBODYTP" "TRADEPAYOFF" "TRADEACV" "TRADEAMOUNT" "NETTRADE" "DEALERCOST" "VEHICLECOST" "VEHHOLDBACK" "VEHHOLDBACKCALC" "VEHINVOICE" "TRADEAGE" "CUSTSTATE" "CUSTLATITUDE" "CUSTLONGITUDE" "CUSTCITY" "CUSTDMA" "TRADEORIGIN" "TRADEMANUFACTURER" "TRDJDPASUPERSEG" "DOCFEE" "AGE" "GENDER" "TRADEALLOW" "CONTRACTPRICE" "JDPAREGION" "ZIPCODERTLR" "ZIPCODE" "LEASERESIDUAL" "carage" "DATE" "week" "Daccord" "Daltima" "Dcamry" "d2007" "logprice" "brand" "dlcostpct" "pricepct" "phat" "chat" "resprice" "Dfpromo" "logcost" "rescost" "zip2" "zip3" "rtlzip2" "rtlzip3" "NPV" "MPR" "LOAN" "fpromo" "findiff" "price1" "price2" "price3" "price4" "rebate1" "rebate2" "rebate3" "rebate4" "fpromo1" "fpromo2" "fpromo3" "fpromo4" "dealercost1" "dealercost2" "dealercost3" "dealercost4" "cost1" "cost2" "cost3" "cost4" "realprice1" "realprice2" "realprice3" "realprice4" "br1" "br2" "br3" "br4" "promo1" "promo2" "promo3" "promo4" "mprice1" "mprice2" "mprice3" "mprice4" "X1" "X2" "X3" "X4" "JDPASUBSEG2" "FUELTYPE" "ASPIRATION" "CYLINDERS" "TRADESERIES" "TRADETRIM" "TRADETRANSMISSION" "TRADEDRIVETYPE" "TRADEFUELTYPE" "TRADEASPIRATION" "TRADEDISPLACEMENT" "TRADEODOMETER" "DISPLACEMENT" "MANUFACTURER" "TRADEMAKEPLATFORM" "TRADEPLATFORMNAME" "TRADEDOORS" "TRADEVIN" "DEALERCITY" "DLLATITUDE" "DLLONGITUDE" "TRDVEHMILEAGE" "TRDVEHPROFILE" "min.dist.honda" "min.dist.nissan" "min.dist.toyota" "min.dist.vw"
"1" "01APR2007:00:00:00" 20538.35 6.89 "Apr 2007" 31 0 "Camry" 2007 "Automatic" 406.78 "Toyota" 3488 60 6571.88 "D" 1598 25275 25275 "Corolla" 2003 "Toyota" "4 Cyl" "Premium Compact Car" "Sedan" 2928.12 7000 6500 3571.88 24225 23677 498 492.49 NA 4 "California" 34.137073 -118.724568 "Agoura Hills" "LOS ANGELES" "Asian" "Toyota" "Compact Car" 55 64 "M" 500 24775 "Southern California" 90745 91301 NA 400 213 31 0 0 1 1 10.137571044 3 0.2100593016 0.2351223345 9.92112 9.90305 0.2164510439 0 10.095140437 0.1920904368 91 913 90 907 20200.097827 0.5741666667 20597.142448 0 397.04462131 9.9325608 10.0467731976 9.88465957 10.1676962688 0 0 0 0 0 0 0 940.4860122 20660.73 21704 19778.5 25689 9.935990076 9.9852518543 9.8923500005 10.1538181637 9.9325608 10.0467731976 9.88465957 10.1309224423814 0 0 1 0 0 0 0 0.9404860122 9.9325608 10.0467731976 9.88465957 10.1676962688 -0.178767882529513 1.41504431856313 -0.382935441314762 0.954130838286938 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Corolla" "N/A" "N/A" "2WD" "Gas" "Normal" "1.8L" 77408 "2.4L" "Toyota" "Toyota - Corolla" "Corolla" "4D" "1NXBR38E13Z098125" "Carson" 33.824351 -118.250088 16 69187 5.66802584402029 19.4751652248851 6.79977682446639 6.08167614491542
"2" "01APR2007:00:00:00" 22663.18 2.316 "Apr 2007" 10 0 "Accord" 2007 "Automatic" 268.2 "Honda" 5304 36 5500 "L" 2462.28 26117.18 26117.18 "Blazer" 1998 "Chevrolet" "6 Cyl" "Midsize SUV" "Sport Utility" 0 3000 2500 2500 23654.9 23654.9 NA 507.94 25795 9 "California" 34.189938 -118.884142 "Thousand Oaks" "LOS ANGELES" "Domestic" "General Motors" "Sport Utility Vehicle (SUV)" 45 58 "F" 500 25617.18 "Southern California" 91362 91360 14961.1 406 213 31 1 0 0 1 10.170348614 1 0.1190032196 0.2483058584 9.94317 9.9552 0.2271786143 1 10.071325561 0.1161255606 91 913 91 913 8617.0017705 0.193 9318.7326295 701.73085896 0 9.9325608 10.0467731976 9.88465957 10.1676962688 0 0 0 0 0 0 0 940.4860122 20660.73 21704 19778.5 25689 9.935990076 9.9852518543 9.8923500005 10.1538181637 9.9325608 10.0467731976 9.88465957 10.1309224423814 0 0 0 0 0 0 0 0.9404860122 9.9325608 10.0467731976 9.88465957 10.1676962688 -0.178767882529513 1.41504431856313 -0.382935441314762 0.954130838286938 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Blazer" "N/A" "N/A" "4WD" "Gas" "Normal" "4.3L" 98978 "2.4L" "Honda" "Chevrolet - S/T Truck" "S/T Truck" "4D" "1GNDT13W4W2273283" "Thousand Oaks" 34.15993 -118.827276 20 27857 3.65830594248079 28.2011241142339 2.41867599491182 3.19456901173058
"3" "01APR2007:00:00:00" 23908.26 6.7476 "Apr 2007" 185 0 "Accord" 2007 "Automatic" 407 "Honda" 6460 36 675.75 "L" -327.17 22034.51 22034.51 "Civic" 2004 "Honda" "4 Cyl" "Premium Compact Car" "Sedan" 9500 9500 9500 0 22361.68 22361.68 705 456.41 21984.68 3 "California" 34.148009 -118.237079 "Glendale" "LOS ANGELES" "Asian" "Honda" "Compact Car" NA 59 "F" 0 22034.51 "Southern California" 91401 91206 14216.05 406 213 31 1 0 0 1 10.00036514 1 0.0578270006 0.0531691369 9.94317 9.9552 0.0571951397 0 10.015104059 0.0599040586 91 912 91 914 13076.509025 0.5623 13230.683799 0 154.17477331 9.9325608 10.0467731976 9.88465957 10.1676962688 0 0 0 0 0 0 0 940.4860122 20660.73 21704 19778.5 25689 9.935990076 9.9852518543 9.8923500005 10.1538181637 9.9325608 10.0467731976 9.88465957 10.1309224423814 1 0 0 0 0 0 0 0.9404860122 9.9325608 10.0467731976 9.88465957 10.1676962688 -0.178767882529513 1.41504431856313 -0.382935441314762 0.954130838286938 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Civic" "LX" "Automatic" "2WD" "Gas" "Normal" "1.7L" 40056 "2.4L" "Honda" "Honda - Civic" "Civic" "4D" "2HGES16564H573657" "Van Nuys" 34.167857 -118.448699 9 41881 7.80265750192483 1.18292986901336 6.94198825553958 11.4528626968219
"4" "01APR2007:00:00:00" 24461.05 12.816 "Apr 2007" 6 0 "Camry" 2007 "Automatic" 477.93 "Toyota" 3179 60 1096.92 "L" NA 16891.08 16891.08 "Camry" 2003 "Toyota" "4 Cyl" "Premium Midsize Car" "Sedan" 11043.93 8000 8000 -3043.93 19425 NA 419 334.43 19844 4 "California" 33.871594 -118.108484 "Cerritos" "LOS ANGELES" "Asian" "Toyota" "Midsize Car" NA 61 "F" 0 16891.08 "Southern California" 90703 90703 9019 400 213 31 0 0 1 1 9.7345409509 3 -0.029704771 -0.174577639 9.92112 9.90305 -0.186579049 0 9.8743161752 -0.028733825 90 907 90 907 23733.30241 1.068 21092.288097 0 -2641.014314 9.9325608 10.0467731976 9.88465957 10.1676962688 0 0 0 0 0 0 0 940.4860122 20660.73 21704 19778.5 25689 9.935990076 9.9852518543 9.8923500005 10.1538181637 9.9325608 10.0467731976 9.88465957 10.1309224423814 0 0 1 0 0 0 0 0.9404860122 9.9325608 10.0467731976 9.88465957 10.1676962688 -0.178767882529513 1.41504431856313 -0.382935441314762 0.954130838286938 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Camry/Camry Solara" "N/A" "N/A" "2WD" "Gas" "Normal" "2.4L" NA "2.4L" "Toyota" "Toyota - Camry" "Camry" "4D" "4T1BE32K43U653045" "Cerritos" 33.861406 -118.099489 -2 63959 5.84549049834174 10.5676371972689 0.850223092317258 5.79406175851441
"5" "01APR2007:00:00:00" 25000 9.9 "Apr 2007" 27 0 "Accord" 2007 "Automatic" 463.79 "Honda" 4508 72 450 "D" 1730.74 23579.92 23579.92 "Corolla" 1993 "Toyota" "4 Cyl" "Premium Compact Car" "Sedan" 0 500 250 250 22103.35 21849.18 470 460.55 NA 14 "California" 33.816249 -118.034033 "Cypress" "LOS ANGELES" "Asian" "Toyota" "Compact Car" 55 28 "F" 250 23329.92 "Southern California" 92683 90630 NA 406 213 31 1 0 0 1 10.068150781 1 0.0456066106 0.1270340931 9.94317 9.9552 0.1249807814 0 10.00348446 0.0482844597 90 906 92 926 26635.584822 0.825 25103.043094 0 -1532.541728 9.9325608 10.0467731976 9.88465957 10.1676962688 0 0 0 0 0 0 0 940.4860122 20660.73 21704 19778.5 25689 9.935990076 9.9852518543 9.8923500005 10.1538181637 9.9325608 10.0467731976 9.88465957 10.1309224423814 0 0 1 0 0 0 0 0.9404860122 9.9325608 10.0467731976 9.88465957 10.1676962688 -0.178767882529513 1.41504431856313 -0.382935441314762 0.954130838286938 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Corolla" "LE" "N/A" "2WD" "Gas" "Normal" "1.6L" 210244 "2.4L" "Honda" "Toyota - Corolla" "Corolla" "4D" "JT2AE00E8P0037060" "Westminster" 33.765351 -117.989609 31 69947 4.01056577311209 9.03580520416013 3.97709878117023 6.00708589693869
"6" "01APR2007:00:00:00" 25128.97 7.9 "Apr 2007" 17 0 "Accord" 2007 "Automatic" 510 "Honda" 4508 60 773.71 "D" NA 22500 22500 "Civic" 2002 "Honda" "4 Cyl" "Premium Compact Car" "Sedan" 9226.29 9000 9000 -226.29 23619.9 NA 504 440.38 NA 5 "California" 33.752285 -117.95665 "Garden Grove" "LOS ANGELES" "Asian" "Honda" "Compact Car" 55 61 "M" 0 22500 "Southern California" 92683 92844 NA 406 213 31 1 0 0 1 10.021270588 1 0.1173475325 0.0754178596 9.94317 9.9552 0.0781005882 0 10.069844856 0.114644856 92 928 92 926 25325.851546 0.6583333333 25211.866559 0 -113.9849872 9.9325608 10.0467731976 9.88465957 10.1676962688 0 0 0 0 0 0 0 940.4860122 20660.73 21704 19778.5 25689 9.935990076 9.9852518543 9.8923500005 10.1538181637 9.9325608 10.0467731976 9.88465957 10.1309224423814 1 0 0 0 0 0 0 0.9404860122 9.9325608 10.0467731976 9.88465957 10.1676962688 -0.178767882529513 1.41504431856313 -0.382935441314762 0.954130838286938 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Civic" "EX" "Automatic" "2WD" "Gas" "Normal" "1.7L" 61401 "2.4L" "Honda" "Honda - Civic" "Civic" "4D" "2HGES26772H511172" "Westminster" 33.765351 -117.989609 13 41750 1.96635750334536 5.69792705431248 8.20753869965182 10.2444161939255
"7" "01APR2007:00:00:00" 25469.19 5.9 "Apr 2007" 9 0 "Camry" 2007 "Automatic" 453.94 "Toyota" 3181 66 3000 "D" 3067.5 25175 25175 "Corolla" 2004 "Toyota" "4 Cyl" "Premium Compact Car" "Sedan" 7000 10500 10000 3000 22107.5 22107.5 NA 450.85 19754 3 "California" 33.611613 -117.678112 "Mission Viejo" "LOS ANGELES" "Asian" "Toyota" "Compact Car" 55 35 "F" 500 24675 "Southern California" 92618 92691 NA 400 213 31 0 0 1 1 10.133606718 3 0.1042883802 0.2302355993 9.92112 9.90305 0.2124867176 0 10.003672196 0.1006221964 92 926 92 926 24341.058941 0.4916666667 25531.703972 0 1190.6450311 9.9325608 10.0467731976 9.88465957 10.1676962688 0 0 0 0 0 0 0 940.4860122 20660.73 21704 19778.5 25689 9.935990076 9.9852518543 9.8923500005 10.1538181637 9.9325608 10.0467731976 9.88465957 10.1309224423814 0 0 1 0 0 0 0 0.9404860122 9.9325608 10.0467731976 9.88465957 10.1676962688 -0.178767882529513 1.41504431856313 -0.382935441314762 0.954130838286938 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Corolla" "N/A" "N/A" "2WD" "Gas" "Normal" "1.8L" NA "2.4L" "Toyota" "Toyota - Corolla" "Corolla" "4D" "1NXBR32E84Z260388" "Irvine" 33.640644 -117.736898 -2 69194 11.644953014448 2.85234767925792 3.70560786915408 27.6067232827416
"8" "01AUG2007:00:00:00" 24034.79 1.5708 "Aug 2007" 8 0 "Accord" 2007 "Automatic" 329.24 "Honda" 6460 36 2050 "L" 95.59 22851.9 22851.9 "Accord" 2004 "Honda" "4 Cyl" "Premium Midsize Car" "Sedan" 13000 13000 13000 0 22756.31 22756.31 470 483.65 22103.35 3 "California" 34.162454 -118.387687 "North Hollywood" "LOS ANGELES" "Asian" "Honda" "Midsize Car" NA 31 "F" 0 22851.9 "Southern California" 91401 91601 13975.1 528 335 48 1 0 0 1 10.036789544 1 0.0764951091 0.0922373949 9.94317 9.9552 0.0936195439 1 10.032597749 0.0773977486 91 916 91 914 10578.156834 0.1309 11570.309574 992.15273971 0 9.9689456507 9.9942419158 9.891111281 10.1464337311 0 0 500 0 527.44810409 0 0 0 22103.35 21806 19954 26001.5 10.0034844597 9.9899404403 9.901184903 10.1659095076 9.94393404753503 9.9942419158 9.86547410985768 10.1464337311 1 0 0 0 0.52744810409 0 0.5 0 9.9689456507 9.9942419158 9.86547410985768 10.1464337311 -0.656687470957627 0.146120191167074 -0.406869177609481 0.1373317981795 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Accord" "EX" "Automatic" "2WD" "Gas" "Normal" "2.4L" 31006 "2.4L" "Honda" "Honda - Accord" "Accord" "4D" "JHMCM56694C027419" "Van Nuys" 34.167857 -118.448699 7 41054 3.25511750738973 2.56850976911303 1.21065745694522 3.48867880188147
"9" "01AUG2007:00:00:00" 26105.16 9.99 "Aug 2007" 22 500 "Camry" 2007 "Automatic" 485.5 "Toyota" 2981 72 -2034.6 "D" 513.79 20145.29 19645.29 "4Runner" 2001 "Toyota" "6 Cyl" "Midsize SUV" "Sport Utility" 19534.6 13000 13000 -6534.6 19880.5 19631.5 419 372.17 NA 6 "California" 33.971265 -118.034941 "Whittier" "LOS ANGELES" "Asian" "Toyota" "Sport Utility Vehicle (SUV)" 55 48 "F" 0 20145.29 "Southern California" 90605 90602 NA 522 335 48 0 0 1 1 9.9107257932 3 -0.006952159 -0.015553012 9.92112 9.90305 -0.010394207 0 9.8974946308 -0.005555369 90 906 90 906 27882.395979 0.8325 26213.77704 0 -1668.61894 9.9689456507 9.9942419158 9.891111281 10.1464337311 0 0 500 0 527.44810409 0 0 0 22103.35 21806 19954 26001.5 10.0034844597 9.9899404403 9.901184903 10.1659095076 9.94393404753503 9.9942419158 9.86547410985768 10.1464337311 0 0 1 0 0.52744810409 0 0.5 0 9.9689456507 9.9942419158 9.86547410985768 10.1464337311 -0.656687470957627 0.146120191167074 -0.406869177609481 0.1373317981795 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "4Runner" "Limited" "Automatic" "2WD" "Gas" "Normal" "3.4L" 82148 "2.4L" "Toyota" "Toyota - Hilux" "Hilux" "4D" "JT3GN87R310184648" "Whittier" 33.952469 -118.013568 17 61885 7.43340010216879 14.425052447346 1.72338515681606 10.7787327731161
"10" "01AUG2007:00:00:00" 30979.37 7.39 "Aug 2007" 78 500 "Altima" 2007 "Automatic" 535.63 "Nissan" 188 72 2000 "D" 4161 25309 24809 "Focus" 2000 "Ford" "4 Cyl" "Premium Compact Car" "Hatchback" 0 1000 1500 1500 21509 21148 575 671.23 NA 7 "California" 34.039584 -118.19342 "Los Angeles" "LOS ANGELES" "Domestic" "Ford" "Compact Car" 55 26 "M" -500 25809 "Southern California" 90068 90063 NA 514 335 48 0 1 0 1 10.138915343 2 0.0154616056 0.1627030906 9.983 9.95973 0.1559153427 0 9.9762267312 0.0164967312 90 900 90 900 30761.375404 0.6158333333 31074.621744 0 313.2463404 9.9689456507 9.9942419158 9.891111281 10.1464337311 0 0 500 0 527.44810409 0 0 0 22103.35 21806 19954 26001.5 10.0034844597 9.9899404403 9.901184903 10.1659095076 9.94393404753503 9.9942419158 9.86547410985768 10.1464337311 0 0 0 0 0.52744810409 0 0.5 0 9.9689456507 9.9942419158 9.86547410985768 10.1464337311 -0.656687470957627 0.146120191167074 -0.406869177609481 0.1373317981795 "Premium Midsize Car" "Gas" "Normal" "4 Cyl" "Focus" "ZX3" "N/A" "2WD" "Gas" "Normal" "2.0L" 118205 "2.5L" "Nissan" "Ford - None" "None" "2D" "3FAHP3130YR252079" "Los Angeles" 34.133597 -118.35714 24 18594 4.04525599490404 7.53803104718209 11.2737811755104 13.1521498137584
