"","realprice1","realprice2","realprice3","realprice4","br1","br2","br3","br4","residual.price.1","residual.price.2","residual.price.3","residual.price.4","min.dist.honda","min.dist.nissan","min.dist.toyota","min.dist.vw","DIST10.honda","DIST10.nissan","DIST10.toyota","DIST10.vw","TRADEMANUFACTURER","TRADENAME","TRADEMODEL","TRADEORIGIN","TRADEBODYTP","TRADECYLINDER","CUSTLATITUDE","CUSTLONGITUDE","ZIPCODE","brand"
"1",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,0,1,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,5.66802584402029,19.4751652248851,6.79977682446639,6.08167614491542,46.6593272974057,132.7189164954,131.103392383525,130.974717679926,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",34.137073,-118.724568,91301,3
"2",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,0,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,3.65830594248079,28.2011241142339,2.41867599491182,3.19456901173058,55.7539808791805,141.788707312316,139.563496725422,139.523557475063,"General Motors","Chevrolet","Blazer","Domestic","Sport Utility","6 Cyl",34.189938,-118.884142,91360,1
"3",9.9325608,10.0467731976,9.88465957,10.1309224423814,1,0,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,7.80265750192483,1.18292986901336,6.94198825553958,11.4528626968219,31.2912853451935,107.901251323074,115.854209127447,115.16044943713,"Honda","Honda","Civic","Asian","Sedan","4 Cyl",34.148009,-118.237079,91206,1
"4",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,0,1,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,5.84549049834174,10.5676371972689,0.850223092317258,5.79406175851441,27.3665916416372,97.3689549209248,96.2201267160993,95.6970293449755,"Toyota","Toyota","Camry","Asian","Sedan","4 Cyl",33.871594,-118.108484,90703,3
"5",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,0,1,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,4.01056577311209,9.03580520416013,3.97709878117023,6.00708589693869,32.7612991893049,93.065116461018,91.6477074332845,90.2632865597089,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",33.816249,-118.034033,90630,1
"6",9.9325608,10.0467731976,9.88465957,10.1309224423814,1,0,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,1.96635750334536,5.69792705431248,8.20753869965182,10.2444161939255,38.7905056009258,92.738638964217,93.0663724764559,84.2665808625041,"Honda","Honda","Civic","Asian","Sedan","4 Cyl",33.752285,-117.95665,92844,1
"7",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,0,1,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,11.644953014448,2.85234767925792,3.70560786915408,27.6067232827416,43.0210587824799,94.9508475657306,95.2260181637346,72.1892881442602,"Toyota","Toyota","Corolla","Asian","Sedan","4 Cyl",33.611613,-117.678112,92691,3
"14",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,1,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,7.12482880953125,12.5501281325727,11.5361754582085,2.72024473992565,43.3895489857107,126.204116343726,129.475826929304,129.113642260511,"Nissan","Nissan","Altima","Asian","Sedan","4 Cyl",34.203974,-118.575435,91306,2
"15",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,1,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,6.68787410093287,8.93019613983211,10.2243175350142,4.91010292047332,29.4548169860631,113.481144862683,112.666828465916,112.334612237857,"Toyota","Toyota","Prius","Asian","Sedan","4 Cyl",34.006718,-118.389172,90230,1
"16",9.90255844,9.78712226086754,9.92580869645,10.15585651715,1,0,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,6.44915747855111,12.4406235482351,5.64784911173806,1.93905619989438,32.2609210328918,96.9057113353644,96.0278281898537,90.8098022089218,"Honda","Honda","Pilot","Asian","Sport Utility","6 Cyl",33.780053,-118.109772,90815,1
"17",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,1,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,2.67710871116834,5.92730345102043,2.65921367849977,11.5157830729351,33.7793842256718,88.8674220943723,91.1707410602127,90.4060584879434,"Toyota","Toyota","Camry","Asian","Sedan","4 Cyl",33.86551,-117.947876,92833,3
"18",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,11.1718745870309,9.71034423227636,9.29319147152286,10.052166914679,30.3539719815292,98.91896385931,108.841218279889,107.984182097952,"Volvo","Volvo","760","European","Sedan","4 Cyl",34.10392,-118.077299,91775,1
"19",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,1,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,19.6612532324349,18.3656455198202,5.07203858467759,4.44834689744608,31.1979503645518,91.2288646817437,107.138079483984,106.004723044114,"Nissan","Nissan","Altima","Asian","Sedan","6 Cyl",34.143513,-117.908636,91702,2
"20",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,1,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,7.02109577843552,9.92348610033069,8.41971353139856,6.22971456021007,41.6102144136513,119.694142446668,128.18520288626,127.58171071956,"Nissan","Nissan","Sentra","Asian","Sedan","4 Cyl",34.268746,-118.42046,91331,2
"21",9.910761037,9.84372003226454,9.8648778775,10.18021480095,0,0,1,0,-0.414876546597918,-0.154691230137564,-0.652127054211785,0.0482869346605897,15.2626073594833,15.1905771401714,15.3105309242211,5.12765181389341,42.5834248715854,75.9751569378291,98.9234589135944,97.394597639133,"Toyota","Toyota","RAV4","Asian","Sport Utility","4 Cyl",34.102369,-117.621784,91730,3
"22",9.910761037,9.84372003226454,9.8648778775,10.18021480095,1,0,0,0,-0.414876546597918,-0.154691230137564,-0.652127054211785,0.0482869346605897,4.1645822840756,4.28585702967526,8.75383756065873,12.4756061153174,40.1180561603417,91.1176959231555,91.4403928264415,83.2297298481363,"Honda","Honda","Accord","Asian","Coupe","4 Cyl",33.758839,-117.911492,92843,1
"23",9.910761037,9.84372003226454,9.8648778775,10.18021480095,1,0,0,0,-0.414876546597918,-0.154691230137564,-0.652127054211785,0.0482869346605897,5.79317214926286,6.45080291989225,7.76329665697334,5.17388665537776,28.11540569932,113.413751331183,114.223029626793,113.832625247738,"Honda","Honda","Accord","Asian","Sedan","4 Cyl",34.041747,-118.378904,90034,1
"24",9.910761037,9.84372003226454,9.8648778775,10.18021480095,0,0,0,0,-0.414876546597918,-0.154691230137564,-0.652127054211785,0.0482869346605897,2.90448286520963,5.21356608069867,4.90034216873995,9.62449779420788,36.151773214943,90.002171666713,90.3354545095696,87.1751706904123,"Bavarian Motor Works","Mini","Cooper","European","Hatchback","4 Cyl",33.801528,-117.961707,92841,2
"25",9.910761037,9.84372003226454,9.8648778775,10.18021480095,0,1,0,0,-0.414876546597918,-0.154691230137564,-0.652127054211785,0.0482869346605897,4.15774433420613,4.02991282224153,5.96475297756468,7.27698930576542,24.5780161472114,104.375190586518,102.364444116538,101.967079353804,"Nissan","Nissan","Sentra","Asian","Sedan","4 Cyl",33.909935,-118.235417,90222,2
"33",9.92329018,9.95227771658705,9.9116276795,10.0592589411978,0,0,0,0,-0.283930593676312,0.103945471239884,0.153125239822142,0.600595126388675,5.8204759981579,10.9148021566911,10.1445810611399,1.85545998908684,40.9661052927762,124.660893912753,126.905558344755,126.568343188514,"Chrysler","Jeep","Cherokee","Domestic","Sport Utility","6 Cyl",34.166691,-118.558509,91356,4
"57",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,0,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,8.26313752537861,9.89921902733932,8.46057701522272,7.54907123472619,40.8450762352846,117.724254649489,127.336917132651,126.677446581073,"Ford","Ford","Excursion","Domestic","Sport Utility","8 Cyl",34.275975,-118.377826,91342,2
"58",9.9325608,10.0467731976,9.88465957,10.1309224423814,1,0,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,0.920959928787514,8.92107461470303,0.970318667832596,9.5255950034373,30.8279018974029,91.9659456797345,93.6024549209778,92.9086732684931,"Honda","Honda","Accord","Asian","Coupe","4 Cyl",33.879901,-118.004425,90621,1
"59",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,0,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,12.8788328850722,31.6243994974026,36.5242955562103,20.156087815552,63.2807343222967,63.8316035611603,104.946336289015,102.825572742193,"Ford","Ford","F-150","Domestic","Pickup","8 Cyl",34.249479,-117.259337,92325,1
"60",9.9325608,10.0467731976,9.88465957,10.1309224423814,1,0,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,3.75079079849835,25.236316857953,2.98744420813606,3.44516532578828,53.9044537981418,138.9789716032,138.499097612115,138.372835189163,"Honda","Honda","Civic","Asian","Sedan","4 Cyl",34.214036,-118.821604,91362,1
"61",9.9325608,10.0467731976,9.88465957,10.1309224423814,0,1,0,0,-0.178767882529513,1.41504431856313,-0.382935441314762,0.954130838286938,3.12996596515808,4.96698841240804,6.45644930711849,9.31526682111139,28.1790434357057,110.20138753538,113.658430001817,113.141919363079,"Nissan","Nissan","Sentra","Asian","Sedan","4 Cyl",34.072395,-118.307989,90004,2
"77",9.90255844,9.78712226086754,9.92580869645,10.15585651715,1,0,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,4.49205121505533,4.45227615618871,13.9968640863788,11.9763956536781,42.5223018860071,99.5229162043343,99.846892698837,80.6016548212557,"Honda","Honda","Civic","Asian","Coupe","4 Cyl",33.65769,-118.000053,92648,1
"78",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,0,1,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,4.03712074723549,3.6289516897536,5.60139194498453,11.2090734039322,37.2031305574032,89.0401849064616,89.3700009587649,86.3807765052356,"Volkswagen","Volkswagen","Jetta","European","Sedan","6 Cyl",33.803499,-117.931916,92802,1
"79",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,3.26013015814269,4.93666975962648,3.22249578024037,11.0352042632909,34.8498956349556,88.5715676608897,89.7892625364986,89.0515224068876,"Chrysler","Chrysler","Sebring","Domestic","Sedan","4 Cyl",33.843105,-117.945613,92801,1
"80",9.90255844,9.78712226086754,9.92580869645,10.15585651715,1,0,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,4.67865401021996,7.21423912560219,4.0107027261261,5.12900667745447,25.7248229134126,100.807176312157,97.7898576020343,97.3780531376679,"Honda","Honda","Pilot","Asian","Sport Utility","6 Cyl",33.861975,-118.175159,90805,1
"81",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,7.30339439001311,3.11436078683614,9.18928850303009,13.8039199623766,33.4380846349195,105.514283055349,113.568461762263,112.846269676079,"Mazda","Mazda","626","Asian","Sedan","4 Cyl",34.128031,-118.197741,90042,1
"82",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,1,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,4.49789345974107,8.58884039879268,7.13424084712933,3.68546272293544,40.6314191919918,120.527239834863,127.201409805814,126.669433852738,"Nissan","Nissan","Sentra","Asian","Sedan","4 Cyl",34.234535,-118.451706,91402,2
"83",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,1,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,7.01066000171457,8.68250478646431,6.3683338099049,10.2776740614426,33.5010058161739,86.8617138544904,93.7961771536155,92.8637047290205,"Toyota","Lexus","ES 300","Asian","Sedan","6 Cyl",33.932077,-117.896389,92821,3
"84",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,1,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,6.83163440355041,3.98517813308405,3.35337999813129,21.2399753880655,41.3022493771016,96.0479637277674,96.3435123103326,72.732367468858,"Toyota","Toyota","Camry","Asian","Sedan","4 Cyl",33.633531,-117.799486,92603,3
"85",9.90255844,9.78712226086754,9.92580869645,10.15585651715,0,0,0,0,-0.387866954814639,-0.941361243681645,0.569264248535776,0.397257381808598,3.15333702390443,4.07278985018765,16.6336460312313,14.986445933813,41.9490970951723,77.9775811353788,80.7697312336288,79.3471850940542,"General Motors","Chevrolet","Lumina","Domestic","Sedan","6 Cyl",33.840571,-117.562102,92881,2
